number,available_bike_stands,available_bikes,last_update
42,18,12,1586101182000
30,18,2,1586101061000
54,28,5,1586100863000
108,20,20,1586101170000
56,24,16,1586101403000
6,14,6,1586101431000
18,21,9,1586100836000
32,16,14,1586101064000
52,19,13,1586101363000
48,23,17,1586101201000
13,25,5,1586101423000
43,19,11,1586101322000
81,22,18,1586100888000
31,9,11,1586101109000
98,31,9,1586100882000
23,10,20,1586101153000
106,35,5,1586101389000
112,25,5,1586101269000
68,37,3,1586101403000
74,22,6,1586100954000
87,20,18,1586101114000
84,21,9,1586101385000
90,23,17,1586101149000
11,18,12,1586101235000
17,14,6,1586100956000
45,16,14,1586100857000
114,38,2,1586101009000
72,26,5,1586101305000
63,24,11,1586100852000
113,37,3,1586100882000
91,13,17,1586101365000
99,27,3,1586101025000
9,17,7,1586101369000
67,22,18,1586101255000
116,20,10,1586101258000
55,36,0,1586101043000
62,28,12,1586101388000
5,40,0,1586101291000
97,28,12,1586101317000
61,17,8,1586100989000
77,10,19,1586101046000
73,28,2,1586100942000
4,12,8,1586101379000
49,26,14,1586101008000
19,3,27,1586101427000
7,23,6,1586101000000
102,36,4,1586101153000
38,18,22,1586100858000
53,35,5,1586101165000
58,20,20,1586101313000
66,23,17,1586101110000
104,29,11,1586101115000
101,28,2,1586101235000
115,9,21,1586101277000
47,34,6,1586101299000
117,31,9,1586101434000
8,27,3,1586101178000
27,18,2,1586101221000
16,16,4,1586101399000
96,18,12,1586101348000
82,19,3,1586101348000
76,38,0,1586101421000
71,28,12,1586101219000
79,16,11,1586100926000
69,21,19,1586101080000
25,26,4,1586101352000
51,37,3,1586100854000
37,12,18,1586101380000
59,9,11,1586100970000
95,18,22,1586101193000
94,28,12,1586100982000
105,26,10,1586101040000
36,36,4,1586101001000
93,33,7,1586101230000
22,15,5,1586101431000
50,36,4,1586101221000
110,39,1,1586101338000
12,20,0,1586101110000
34,27,3,1586101424000
78,13,27,1586101186000
2,18,2,1586101192000
75,39,1,1586101156000
111,38,2,1586101141000
26,13,7,1586101163000
65,33,7,1586101143000
15,16,0,1586101056000
86,23,15,1586101130000
10,6,10,1586101037000
100,9,16,1586101160000
24,11,9,1586101439000
