weather_main,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,dt,sunrise,sunset
Clouds,3.43,-1.49,1.91,4.86,1006,93,10000,1.92,60,75,0,0,0,0,1585100400,1585091100,1585130880
Clouds,3.43,-1.27,1.68,4.79,1006,93,10000,1.92,60,75,0,0,0,0,1585100400,1585091100,1585130880
Clouds,6.07,1.52,4.47,6.75,1006,75,10000,2.1,90,75,0,0,0,0,1585103580,1585091100,1585130880
Clouds,7.21,2.35,5.71,8.46,1005,65,10000,2.1,70,40,0,0,0,0,1585119000,1585091100,1585130880
Clouds,7.21,3.2,6.33,8.6,1005,65,10000,2.1,70,40,0,0,0,0,1585119120,1585091100,1585130880
Clouds,7.21,2.99,5.83,8.08,1005,65,10000,2.1,90,40,0,0,0,0,1585119120,1585091100,1585130880
Clouds,7.21,2.35,5.97,8.3,1005,65,10000,2.1,90,40,0,0,0,0,1585119000,1585091100,1585130880
Clouds,7.21,3,6.2,8.35,1005,65,10000,2.1,80,40,0,0,0,0,1585119120,1585091100,1585130880
Clouds,7.21,3.1,5.73,8.51,1005,65,10000,2.1,90,40,0,0,0,0,1585119120,1585091100,1585130880
Clouds,7.21,2.46,6.11,8.22,1005,65,10000,2.1,60,40,0,0,0,0,1585119120,1585091100,1585130880
Clouds,7.3,2.47,5.65,8.2,1005,65,10000,2.1,80,40,0,0,0,0,1585119900,1585091100,1585130880
Clouds,7.17,2.98,5.83,8.14,1005,65,10000,2.1,60,40,0,0,0,0,1585120200,1585091100,1585130880
Clouds,7.17,2.5,5.61,8.59,1005,65,10000,2.1,80,40,0,0,0,0,1585120200,1585091100,1585130880
Clouds,6.54,2.01,4.99,7.25,1005,70,10000,3.1,70,40,0,0,0,0,1585120800,1585091100,1585130880
Clouds,6.54,2.27,5.38,7.64,1005,70,10000,3.1,90,40,0,0,0,0,1585120800,1585091100,1585130880
Clouds,6.89,2.87,5.45,8.26,1005,70,10000,3.1,90,40,0,0,0,0,1585121400,1585091100,1585130880
Clouds,6.89,2.38,5.36,7.7,1005,70,10000,3.1,90,40,0,0,0,0,1585121400,1585091100,1585130880
Clouds,6.86,2.01,5.52,7.99,1005,70,10000,3.1,90,40,0,0,0,0,1585122000,1585091100,1585130880
Clouds,6.86,1.95,6.03,8.23,1005,70,10000,3.1,80,40,0,0,0,0,1585122000,1585091100,1585130880
Clouds,6.81,2.15,5.38,8.04,1005,70,10000,3.1,70,20,0,0,0,0,1585122600,1585091100,1585130880
Clouds,6.81,2.03,5.46,8.04,1005,70,10000,3.1,80,20,0,0,0,0,1585122600,1585091100,1585130880
Clouds,6.81,2.19,5.8,7.82,1005,70,10000,3.1,70,20,0,0,0,0,1585122600,1585091100,1585130880
Clouds,6.8,2.66,5.29,8.03,1005,70,10000,3.1,60,20,0,0,0,0,1585123500,1585091100,1585130880
Clouds,6.8,2.62,5.22,7.91,1005,70,10000,3.1,70,20,0,0,0,0,1585123500,1585091100,1585130880
Clouds,6.8,2.61,5.14,7.76,1005,70,10000,3.1,80,20,0,0,0,0,1585124100,1585091100,1585130880
Clouds,6.72,2.64,4.96,8.1,1004,70,10000,3.6,60,20,0,0,0,0,1585124400,1585091100,1585130880
Clouds,6.72,1.92,5.5,7.4,1004,70,10000,3.6,70,20,0,0,0,0,1585124700,1585091100,1585130880
Clouds,6.72,1.84,5.27,7.48,1004,70,10000,3.6,70,20,0,0,0,0,1585124400,1585091100,1585130880
Clouds,6.64,2.59,5.33,7.34,1004,70,10000,3.6,90,20,0,0,0,0,1585125300,1585091100,1585130880
Clouds,6.82,2.11,5.12,7.62,1004,70,10000,3.6,80,20,0,0,0,0,1585125600,1585091100,1585130880
Clouds,6.83,2.62,5.78,8.12,1004,70,10000,3.6,90,20,0,0,0,0,1585125900,1585091100,1585130880
Clouds,6.83,2.1,5.57,8.04,1004,70,10000,3.6,80,20,0,0,0,0,1585125900,1585091100,1585130880
Clouds,6.83,2.24,5.92,8.19,1004,70,10000,3.6,90,20,0,0,0,0,1585125900,1585091100,1585130880
Clouds,6.83,2.57,5.2,8.19,1004,70,10000,3.6,70,20,0,0,0,0,1585125900,1585091100,1585130880
Clouds,6.01,1.82,4.41,6.52,1005,75,10000,3.1,90,20,0,0,0,0,1585127100,1585091100,1585130880
Clouds,6.01,1.36,4.92,6.84,1005,75,10000,3.1,80,20,0,0,0,0,1585127400,1585091100,1585130880
Clouds,6.01,1.19,4.94,7.11,1005,75,10000,3.1,90,20,0,0,0,0,1585127700,1585091100,1585130880
Clouds,6.17,2.01,4.85,7.63,1005,75,10000,2.6,90,20,0,0,0,0,1585128000,1585091100,1585130880
Clouds,6.01,1.05,4.67,7.35,1005,75,10000,3.1,80,20,0,0,0,0,1585127700,1585091100,1585130880
Clouds,6.17,1.61,4.39,6.73,1005,75,10000,2.6,70,20,0,0,0,0,1585128000,1585091100,1585130880
Clouds,5.86,1.16,4.57,6.85,1005,75,10000,2.6,90,20,0,0,0,0,1585128900,1585091100,1585130880
Clouds,5.85,0.87,4.5,7.32,1005,75,10000,2.6,60,20,0,0,0,0,1585129200,1585091100,1585130880
Clouds,5.85,1.13,5.01,6.38,1005,75,10000,2.6,60,20,0,0,0,0,1585129200,1585091100,1585130880
Clouds,5.24,1.11,3.54,6.51,1005,80,10000,3.1,60,20,0,0,0,0,1585129800,1585091100,1585130880
Clouds,5.24,1,3.73,5.97,1005,80,10000,3.1,70,20,0,0,0,0,1585130100,1585091100,1585130880
Clouds,5.24,0.59,4.09,6.01,1005,80,10000,3.1,80,20,0,0,0,0,1585130400,1585091100,1585130880
Clouds,5.24,0.46,4.31,6.67,1005,80,10000,3.1,70,20,0,0,0,0,1585130100,1585091100,1585130880
Clouds,5.08,0.46,4.25,6.27,1005,80,10000,3.1,90,20,0,0,0,0,1585131000,1585091100,1585130880
Clouds,5.08,1.03,3.98,6.18,1005,80,10000,3.1,60,20,0,0,0,0,1585131000,1585091100,1585130880
Clouds,4.14,-0.2,2.79,5.03,1005,80,10000,3.1,90,20,0,0,0,0,1585131600,1585091100,1585130880
Clouds,4.26,-0.53,2.84,5.63,1005,80,10000,3.1,90,20,0,0,0,0,1585131900,1585091100,1585130880
Clouds,4.26,-0.26,3.35,5.1,1005,80,10000,3.1,70,20,0,0,0,0,1585131900,1585091100,1585130880
Clouds,4.26,-0.65,3.04,5.55,1005,80,10000,3.1,80,20,0,0,0,0,1585131900,1585091100,1585130880
Clouds,4.02,-0.66,2.31,4.79,1005,80,10000,3.1,80,20,0,0,0,0,1585132800,1585091100,1585130880
Clouds,4.02,-0.77,2.83,5.46,1005,80,10000,3.1,90,20,0,0,0,0,1585132800,1585091100,1585130880
Clouds,2.87,-1.68,1.2,3.51,1005,73,10000,2.6,70,20,0,0,0,0,1585133400,1585091100,1585130880
Clouds,2.87,-2.03,1.56,3.39,1005,73,10000,2.6,80,20,0,0,0,0,1585133700,1585091100,1585130880
Clouds,2.79,-1.53,1.19,3.4,1005,73,10000,2.6,90,20,0,0,0,0,1585134000,1585091100,1585130880
Clouds,2.79,-2,1.02,3.61,1005,73,10000,2.6,70,20,0,0,0,0,1585134000,1585091100,1585130880
Clouds,2.79,-1.45,1.59,4.11,1005,73,10000,2.6,70,20,0,0,0,0,1585134000,1585091100,1585130880
Clouds,2.47,-2.34,1.16,3.64,1005,73,10000,2.6,90,20,0,0,0,0,1585134900,1585091100,1585130880
Clouds,2.31,-2.1,1.39,3.12,1005,93,10000,2.6,60,20,0,0,0,0,1585135200,1585091100,1585130880
Clouds,2.47,-1.93,1.64,3.13,1005,73,10000,2.6,90,20,0,0,0,0,1585134900,1585091100,1585130880
Clouds,2.31,-1.89,1.09,3.76,1005,93,10000,2.6,60,20,0,0,0,0,1585135800,1585091100,1585130880
Clouds,2.31,-1.84,0.97,2.83,1005,93,10000,2.6,90,20,0,0,0,0,1585135680,1585091100,1585130880
Clouds,2.21,-2.56,0.79,3.43,1005,93,10000,2.6,80,20,0,0,0,0,1585136400,1585091100,1585130880
